feature,non_null_rows,missing_rate,nunique_non_null,selected
avg_dollar_volume_63d,13323,0.03126590562059184,13321,True
avg_transactions_21d,13655,0.0071257180251581564,13065,True
capex,12457,0.09423398531229554,9719,True
capex_to_revenue,11762,0.1447684141641824,10670,True
cash_and_equivalents,13683,0.005089798589398731,11829,True
cfo,13667,0.006253181124118323,12081,True
cfo_to_net_income,13662,0.006616738166218328,12308,True
current_ratio,13216,0.03904602632152987,11967,True
debt_to_equity,10894,0.20788191667272593,9731,True
drawdown_126d,12813,0.0683487239147822,12286,True
fcf,12456,0.09430669672071545,11036,True
fcf_margin,11761,0.14484112557260231,10682,True
gross_margin,12495,0.09147095179233622,9815,True
has_cash_flow,13753,0.0,2,True
has_income_statement,13753,0.0,2,True
high_low_range_21d,13655,0.0071257180251581564,13653,True
interest_coverage,9879,0.28168399621900675,8905,True
liabilities_to_assets,13748,0.0003635570420998935,12391,True
net_debt,10877,0.20911801061586566,9633,True
net_income,13699,0.003926416054679027,12080,True
net_margin,12497,0.09132552897549628,11313,True
news_count,13753,0.0,5,True
operating_income,13678,0.005453355631498624,12077,True
operating_margin,12497,0.09132552897549628,11313,True
quick_ratio,12448,0.0948883879880753,11310,True
return_63d,13303,0.03272013378899152,13052,True
revenue,12500,0.09110739475023633,11219,True
roa,13698,0.003999127463098939,12353,True
roe,13681,0.005235221406238666,12338,True
total_assets,13753,0.0,12361,True
total_debt,10899,0.20751835963062604,9437,True
total_equity,13735,0.0013088053515596387,12306,True
total_liabilities,13749,0.0002908456336798704,12331,True
volatility_21d,13651,0.007416563658838027,13649,True
volatility_63d,13303,0.03272013378899152,13301,True
working_capital_to_assets,13752,7.27114084200231e-05,12389,True
news_sentiment_score,0,1.0,0,False
